     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3928500 2446500  1  7 18   7.0  980 242  2.4 6  5.0  77    0    0 297 -340  2
3928500 2446500  1  7 19   6.4  980 221  2.0 2  5.0  80    0    0 276 -336  2
3928500 2446500  1  7 20   5.6  979 192  1.6 2  5.0  83    0    0 254 -334  2
3928500 2446500  1  7 21   5.0  978 209  1.4 3  4.9  85    0    0 256 -333  2
3928500 2446500  1  7 22   4.0  978 202  1.4 2  4.6  85    0    0 252 -332  2
3928500 2446500  1  7 23   3.8  977 176  1.3 1  4.5  86    0    0 239 -331  2
3928500 2446500  1  7 24   3.5  976 185  1.8 0  4.4  86    0    0 227 -331  2
3928500 2446500  1  8  1   3.6  976 172  1.2 2  4.2  82    0    0 229 -330  2
3928500 2446500  1  8  2   2.9  975 173  1.8 1  4.0  80    0    0 231 -330  2
3928500 2446500  1  8  3   0.4  974 183  1.7 2  3.7  82    0    0 224 -330  2
3928500 2446500  1  8  4  -0.1  974 190  2.2 2  3.5  87    0    0 226 -329  2
3928500 2446500  1  8  5   0.0  973 192  2.3 3  3.4  87    0    0 231 -329  2
3928500 2446500  1  8  6   1.6  972 191  2.3 0  3.4  82    0    0 220 -329  2
3928500 2446500  1  8  7   0.8  971 218  2.9 1  3.3  76    0    0 210 -329  2
3928500 2446500  1  8  8   3.1  970 223  2.5 1  3.1  69    0    0 218 -331  2
3928500 2446500  1  8  9   4.0  970 217  3.1 1  3.1  62    5   10 223 -333  2
3928500 2446500  1  8 10   9.0  971 227  2.4 2  3.1  50   76   40 237 -336  2
3928500 2446500  1  8 11  10.6  972 211  2.3 1  3.1  40  190   44 245 -340  2
3928500 2446500  1  8 12  13.0  971 210  4.8 1  3.2  35  254   52 243 -346  2
3928500 2446500  1  8 13  14.3  970 231  5.3 1  3.1  31  274   56 247 -352  2
3928500 2446500  1  8 14  14.4  970 234  5.1 1  3.1  29  254   52 249 -356  2
3928500 2446500  1  8 15  13.4  969 234  4.5 3  3.1  30  147   59 261 -356  2
3928500 2446500  1  8 16  12.8  969 243  4.0 5  3.1  32    6   44 283 -354  2
3928500 2446500  1  8 17  11.0  970 239  5.0 7  3.2  36    1    9 302 -349  2
3928500 2446500  1  8 18  10.8  971 232  4.6 7  3.7  43    0    0 312 -344  2
3928500 2446500  1  8 19  10.7  971 251  5.3 8  4.2  50    0    0 318 -343  2
3928500 2446500  1  8 20   9.3  972 257  5.2 8  4.6  58    0    0 323 -346  2
3928500 2446500  1  8 21   8.5  972 252  4.1 7  5.1  68    0    0 316 -348  2
3928500 2446500  1  8 22   8.3  973 236  3.3 8  5.2  73    0    0 313 -348  2
3928500 2446500  1  8 23   7.2  973 236  4.7 8  5.3  78    0    0 316 -347  2
3928500 2446500  1  8 24   6.7  974 228  3.5 7  5.4  84    0    0 308 -347  2
3928500 2446500  1  9  1   6.3  975 265  1.6 8  5.5  88    0    0 306 -346  2
3928500 2446500  1  9  2   6.4  974 217  0.9 8  5.6  90    0    0 311 -346  2
3928500 2446500  1  9  3   6.4  974 220  1.4 8  5.6  90    0    0 312 -345  2
3928500 2446500  1  9  4   6.0  974 228  1.7 7  5.6  91    0    0 306 -345  2
3928500 2446500  1  9  5   5.3  974 229  1.0 8  5.5  93    0    0 306 -345  2
3928500 2446500  1  9  6   5.5  975 243  1.0 7  5.5  94    0    0 308 -345  2
3928500 2446500  1  9  7   6.2  975 202  1.6 7  5.6  94    0    0 306 -344  2
3928500 2446500  1  9  8   5.7  975 232  0.5 7  5.6  93    0    0 308 -344  2
3928500 2446500  1  9  9   5.9  975 207  1.0 8  5.5  93    0    2 313 -344  2
3928500 2446500  1  9 10   6.0  976 220  1.2 7  5.6  93    0   41 315 -344  2
3928500 2446500  1  9 11   6.9  977 235  0.8 7  5.7  92    0   72 309 -345  2
3928500 2446500  1  9 12   7.0  977 359  2.1 6  5.8  90   22  153 304 -346  2
3928500 2446500  1  9 13   7.6  978 161  1.9 4  5.8  88   45  190 285 -347  2
3928500 2446500  1  9 14   8.3  977  22  3.0 4  5.5  80   41  171 272 -347  2
3928500 2446500  1  9 15   8.3  977 211  2.2 5  5.2  74   15  113 278 -348  2
3928500 2446500  1  9 16   8.5  977 231  1.8 8  5.0  71    6   58 303 -348  2
3928500 2446500  1  9 17   7.6  977 229  1.7 8  5.0  72    1   14 320 -349  2
3928500 2446500  1  9 18   7.4  978 217  1.7 8  5.0  75    0    0 319 -348  2
3928500 2446500  1  9 19   5.3  978 194  1.4 5  4.9  80    0    0 299 -346  2
3928500 2446500  1  9 20   5.5  977 191  1.3 5  4.8  84    0    0 281 -344  2
3928500 2446500  1  9 21   4.8  977 196  1.1 4  4.7  83    0    0 276 -342  2
3928500 2446500  1  9 22   4.5  977 175  1.2 5  4.8  88    0    0 276 -341  2
3928500 2446500  1  9 23   4.1  977 146  0.7 5  5.0  92    0    0 283 -342  2
3928500 2446500  1  9 24   4.4  977 210  1.3 1  5.0  94    0    0 262 -343  2
3928500 2446500  1 10  1   4.8  977 213  1.2 0  5.0  91    0    0 236 -343  2
3928500 2446500  1 10  2   3.7  977 199  1.5 0  4.7  89    0    0 230 -341  2
3928500 2446500  1 10  3   3.4  976 211  1.3 0  4.5  89    0    0 230 -339  2
3928500 2446500  1 10  4   2.0  976 209  0.9 1  4.4  92    0    0 233 -337  2
3928500 2446500  1 10  5   2.4  976 177  0.4 3  4.3  94    0    0 243 -336  2
3928500 2446500  1 10  6   2.9  975 207  0.7 4  4.4  92    0    0 255 -334  2
3928500 2446500  1 10  7   1.9  975 193  0.5 3  4.4  93    0    0 253 -333  2
3928500 2446500  1 10  8   1.2  975 219  1.4 3  4.1  94    0    0 245 -332  2
3928500 2446500  1 10  9   2.3  975 230  1.6 5  4.1  92    1   10 253 -331  2
3928500 2446500  1 10 10   2.6  975 209  1.2 6  4.2  90   57   50 266 -332  2
3928500 2446500  1 10 11   4.7  975 214  1.4 5  4.5  88  143   70 270 -337  2
3928500 2446500  1 10 12   6.1  975 215  1.6 4  4.8  84  216   74 265 -345  2
3928500 2446500  1 10 13   9.4  975 207  1.7 1  5.1  76  274   65 255 -352  2
3928500 2446500  1 10 14  10.7  974 200  1.7 1  5.5  69  247   65 250 -358  2
3928500 2446500  1 10 15  10.9  974 194  1.5 1  5.6  67  178   58 252 -359  2
3928500 2446500  1 10 16  11.9  973 199  1.6 0  5.5  62   84   43 251 -357  2
3928500 2446500  1 10 17   9.8  973 188  1.6 0  5.1  60   11   13 244 -351  2
3928500 2446500  1 10 18   6.9  973 204  2.0 0  4.8  68    0    0 237 -345  2
3928500 2446500  1 10 19   6.1  973 195  2.0 1  4.6  73    0    0 237 -340  2
3928500 2446500  1 10 20   5.0  974 198  2.1 1  4.6  78    0    0 240 -336  2
3928500 2446500  1 10 21   6.3  974 194  2.4 0  4.4  74    0    0 237 -333  2
3928500 2446500  1 10 22   5.8  974 208  1.8 1  4.0  67    0    0 238 -331  2
3928500 2446500  1 10 23   4.9  975 228  2.1 2  3.9  67    0    0 245 -329  2
3928500 2446500  1 10 24   5.5  975 207  2.4 4  3.9  68    0    0 259 -327  2
3928500 2446500  1 11  1   2.2  975 185  1.9 4  3.8  74    0    0 265 -325  2
3928500 2446500  1 11  2   1.8  976 198  2.0 4  3.6  79    0    0 260 -324  2
3928500 2446500  1 11  3   1.9  976 209  1.8 4  3.5  78    0    0 260 -323  2
3928500 2446500  1 11  4   0.9  976 192  1.4 5  3.5  80    0    0 265 -322  2
3928500 2446500  1 11  5   3.8  976 212  2.6 8  3.8  81    0    0 287 -322  2
3928500 2446500  1 11  6   3.5  976 202  1.9 8  4.3  83    0    0 308 -322  2
3928500 2446500  1 11  7   2.8  976 198  1.8 8  4.0  82    0    0 308 -321  2
3928500 2446500  1 11  8   4.4  976 230  2.1 8  4.0  78    0    0 310 -321  2
3928500 2446500  1 11  9   5.1  976 216  0.9 8  4.2  76    0    9 314 -321  2
3928500 2446500  1 11 10   6.4  977 172  0.8 8  4.2  72   15   72 315 -321  2
3928500 2446500  1 11 11   6.6  978 207  1.4 5  4.5  72   28  129 300 -324  2
3928500 2446500  1 11 12   8.0  978 200  1.5 5  4.6  70   15  139 288 -331  2
3928500 2446500  1 11 13   8.4  978 211  3.0 5  4.7  67   17  150 290 -340  2
3928500 2446500  1 11 14   8.8  977 228  2.5 6  4.8  67   10  118 295 -346  2
3928500 2446500  1 11 15   8.9  976 236  1.6 4  4.9  67   28  127 290 -348  2
3928500 2446500  1 11 16   8.8  976 220  1.6 5  4.9  67   27   78 285 -345  2
3928500 2446500  1 11 17   6.4  976 215  1.5 3  5.0  74    5   20 278 -339  2
3928500 2446500  1 11 18   5.8  976 210  1.1 2  4.8  80    0    0 260 -332  2
3928500 2446500  1 11 19   5.1  976 219  1.5 3  4.7  80    0    0 258 -327  2
3928500 2446500  1 11 20   5.1  975 220  0.9 3  4.5  79    0    0 261 -325  2
3928500 2446500  1 11 21   4.9  975 194  1.2 3  4.4  79    0    0 261 -323  2
3928500 2446500  1 11 22   4.8  975 211  2.0 4  4.4  78    0    0 265 -321  2
3928500 2446500  1 11 23   5.4  975 175  1.2 5  4.4  77    0    0 274 -320  2
3928500 2446500  1 11 24   4.3  975 204  0.9 3  4.4  78    0    0 269 -320  2
3928500 2446500  1 12  1   6.4  975 209  1.9 5  4.3  74    0    0 270 -320  2
3928500 2446500  1 12  2   6.8  976 230  1.7 6  4.3  68    0    0 286 -320  2
3928500 2446500  1 12  3   6.3  975 213  1.9 8  4.3  68    0    0 298 -320  2
3928500 2446500  1 12  4   6.1  975 195  1.6 8  4.3  70    0    0 305 -319  2
3928500 2446500  1 12  5   6.3  975 195  1.8 8  4.3  70    0    0 305 -319  2
3928500 2446500  1 12  6   5.2  974 211  1.6 8  4.3  73    0    0 304 -318  2
3928500 2446500  1 12  7   5.9  974 212  1.5 8  4.5  77    0    0 305 -318  2
3928500 2446500  1 12  8   6.5  974 212  1.9 8  4.6  76    0    0 308 -318  2
3928500 2446500  1 12  9   5.9  974 206  2.0 8  4.7  77    0    7 309 -318  2
3928500 2446500  1 12 10   6.6  974 177  2.2 7  5.0  80    2   52 305 -319  2
3928500 2446500  1 12 11   7.9  974 176  1.4 7  5.1  78    1   76 302 -320  2
3928500 2446500  1 12 12   8.7  974 206  2.4 7  5.2  74    0   72 303 -327  2
3928500 2446500  1 12 13   9.5  973 199  3.1 6  5.4  73   10  135 299 -338  2
3928500 2446500  1 12 14  10.4  973 217  2.5 6  5.6  71   16  121 297 -346  2
3928500 2446500  1 12 15   9.8  973 231  2.8 6  5.7  72    1   77 299 -349  2
3928500 2446500  1 12 16   9.5  973 235  2.6 7  5.8  75    0   35 305 -349  2
3928500 2446500  1 12 17   8.9  972 249  2.8 7  5.9  79    0    6 311 -347  2
3928500 2446500  1 12 18   7.9  972 243  1.9 8  6.1  86    0    0 316 -345  2
3928500 2446500  1 12 19   7.8  973 262  2.0 8  6.2  90    0    0 322 -343  2
